2026-08-18 21:49:11,697 | INFO | src.embedders.embedding_generator | Loading embedding model: all-MiniLM-L6-v2
2026-08-18 21:49:13,981 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json "HTTP/1.1 200 OK"
2026-08-18 21:49:14,262 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:14,302 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:14,590 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:49:14,865 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:14,899 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:16,636 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:49:16,872 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:49:17,113 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/video_preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:49:17,357 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:49:17,594 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:17,623 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:17,895 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:17,927 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:18,162 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:18,196 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:18,452 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:18,516 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json "HTTP/1.1 200 OK"
2026-08-18 21:49:18,765 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-08-18 21:49:19,021 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-08-18 21:49:19,498 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:49:19,538 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-08-18 21:49:19,807 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-08-18 21:49:19,818 | INFO | src.embedders.embedding_generator | Embedding model loaded successfully
2026-08-18 21:53:56,242 | INFO | src.pipelines.dataset_pipeline | Processing URL: https://docs.python.org/3/tutorial/
2026-08-18 21:53:56,242 | INFO | src.collectors.docs_collector | Collecting document from https://docs.python.org/3/tutorial/
2026-08-18 21:53:56,720 | INFO | src.collectors.docs_collector | Successfully downloaded page
2026-08-18 21:53:56,758 | INFO | src.collectors.docs_collector | Document created successfully (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.cleaners.document_cleaner | Cleaning document (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.cleaners.document_cleaner | Finished cleaning document (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.validator.document_validator | Validating document (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.enrichers.document_enricher | Enriching document (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.enrichers.document_enricher | Enrichment completed (id=521189ab-dc53-4722-b5c9-6837e9b36cab, words=342, chars=2273, quality=0.50)
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Saving object to data/raw/documents.jsonl
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,760 | INFO | src.pipelines.dataset_pipeline | Saved document (id=521189ab-dc53-4722-b5c9-6837e9b36cab, title='The Python Tutorial — Python 3.14.7 documentation')
2026-08-18 21:53:56,760 | INFO | src.chunkers.document_chunker | Starting chunking for document (id=521189ab-dc53-4722-b5c9-6837e9b36cab)
2026-08-18 21:53:56,760 | INFO | src.chunkers.document_chunker | Chunking completed (id=521189ab-dc53-4722-b5c9-6837e9b36cab, chunks=12)
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Saving 12 objects
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,760 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,768 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,768 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,769 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,769 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,769 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,769 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:53:56,770 | INFO | src.storage.jsonl_store | Finished saving 12 objects
2026-08-18 21:53:56,770 | INFO | src.pipelines.dataset_pipeline | chunk Length=12
2026-08-18 21:53:56,770 | INFO | src.embedders.embedding_generator | Loading embedding model: all-MiniLM-L6-v2
2026-08-18 21:53:56,770 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-08-18 21:53:57,220 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:57,280 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json "HTTP/1.1 200 OK"
2026-08-18 21:53:57,580 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:57,640 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-08-18 21:53:57,640 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-08-18 21:53:57,962 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:58,040 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-08-18 21:53:58,345 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:58,405 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/README.md "HTTP/1.1 200 OK"
2026-08-18 21:53:58,753 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:58,833 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json "HTTP/1.1 200 OK"
2026-08-18 21:53:59,145 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:59,211 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-08-18 21:53:59,493 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:53:59,785 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:53:59,860 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:54:00,220 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:54:00,525 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:54:00,817 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/video_preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:54:01,120 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-08-18 21:54:01,411 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:54:01,470 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json "HTTP/1.1 200 OK"
2026-08-18 21:54:01,783 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:54:01,840 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:54:02,123 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:54:02,183 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json "HTTP/1.1 200 OK"
2026-08-18 21:54:02,532 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:54:02,590 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json "HTTP/1.1 200 OK"
2026-08-18 21:54:02,878 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-08-18 21:54:03,191 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-08-18 21:54:03,580 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-08-18 21:54:03,642 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-08-18 21:54:03,950 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-08-18 21:54:03,950 | INFO | src.embedders.embedding_generator | Embedding model loaded successfully
2026-08-18 21:54:03,950 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_1)
2026-08-18 21:54:04,168 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,170 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,170 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_2)
2026-08-18 21:54:04,193 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,193 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,199 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_3)
2026-08-18 21:54:04,220 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,222 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,222 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_4)
2026-08-18 21:54:04,250 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,252 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,252 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_5)
2026-08-18 21:54:04,270 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,270 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,270 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_6)
2026-08-18 21:54:04,293 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,298 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,298 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_7)
2026-08-18 21:54:04,324 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,328 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,328 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_8)
2026-08-18 21:54:04,347 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,347 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,347 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_9)
2026-08-18 21:54:04,360 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,370 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,370 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_10)
2026-08-18 21:54:04,388 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,390 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,390 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_11)
2026-08-18 21:54:04,407 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,410 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,410 | INFO | src.embedders.embedding_generator | Generating embedding for chunk (id=521189ab-dc53-4722-b5c9-6837e9b36cab_chunk_12)
2026-08-18 21:54:04,430 | INFO | src.storage.jsonl_store | Saving object to data/processed/embeddings.jsonl
2026-08-18 21:54:04,430 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:04,430 | INFO | src.pipelines.dataset_pipeline | embedding Length=12
2026-08-18 21:54:04,430 | INFO | src.pipelines.dataset_pipeline | Processing URL: https://www.programiz.com/python-programming
2026-08-18 21:54:04,430 | INFO | src.collectors.docs_collector | Collecting document from https://www.programiz.com/python-programming
2026-08-18 21:54:07,040 | INFO | src.collectors.docs_collector | Successfully downloaded page
2026-08-18 21:54:07,072 | INFO | src.collectors.docs_collector | Document created successfully (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,072 | INFO | src.cleaners.document_cleaner | Cleaning document (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,080 | INFO | src.cleaners.document_cleaner | Finished cleaning document (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,080 | INFO | src.validator.document_validator | Validating document (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,080 | INFO | src.enrichers.document_enricher | Enriching document (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,080 | INFO | src.enrichers.document_enricher | Enrichment completed (id=ea047b73-b948-45f3-8429-84966db68834, words=1017, chars=6581, quality=1.00)
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/raw/documents.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.pipelines.dataset_pipeline | Saved document (id=ea047b73-b948-45f3-8429-84966db68834, title='Learn Python Programming')
2026-08-18 21:54:07,080 | INFO | src.chunkers.document_chunker | Starting chunking for document (id=ea047b73-b948-45f3-8429-84966db68834)
2026-08-18 21:54:07,080 | INFO | src.chunkers.document_chunker | Chunking completed (id=ea047b73-b948-45f3-8429-84966db68834, chunks=33)
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving 33 objects
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,080 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,088 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,088 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,088 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,088 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,088 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,090 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
2026-08-18 21:54:07,090 | INFO | src.storage.jsonl_store | Object saved successfully
2026-08-18 21:54:07,090 | INFO | src.storage.jsonl_store | Saving object to data/processed/chunks.jsonl
